Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,125.125,-113.35,0.0,top
C2,100nF,C_0603_1608Metric,125.125,-119.35,0.0,top
C3,10uF,C_0603_1608Metric,172.9,-111.0,0.0,top
C4,100nF,C_0603_1608Metric,172.675,-118.0,0.0,top
C5,10uF,C_0603_1608Metric,151.95,-111.025,-90.0,top
C6,100nF,C_0603_1608Metric,147.45,-111.25,-90.0,top
D1,LED,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,116.125,-122.85,-90.0,top
D2,LED,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,116.125,-109.0,-90.0,top
D3,LED,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,142.95,-101.5,180.0,top
D4,LED,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,157.185,-101.5,180.0,top
D5,LED,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,184.175,-121.0,90.0,top
D6,LED,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,184.175,-108.0,90.0,top
Q1,SFH309,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_Clear,114.5,-115.975,-90.0,top
Q2,MMBT3904,SOT-23,129.5625,-116.05,180.0,top
Q3,SFH309,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_Clear,185.825,-114.5,90.0,top
Q4,SFH309,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_Clear,149.95,-99.9625,180.0,top
Q5,MMBT3904,SOT-23,149.95,-115.9625,90.0,top
Q6,MMBT3904,SOT-23,170.5,-115.0,0.0,top
R1,10k,R_0603_1608Metric,124.675,-116.5,0.0,top
R2,780,R_0603_1608Metric,132.625,-114.35,90.0,top
R3,42,R_0603_1608Metric,130.925,-106.85,90.0,top
R4,42,R_0603_1608Metric,127.625,-125.65,-90.0,top
R5,10k,R_0603_1608Metric,174.35,-114.5,0.0,top
R6,10k,R_0603_1608Metric,149.625,-110.85,90.0,top
R7,780,R_0603_1608Metric,149.95,-118.9625,180.0,top
R8,42,R_0603_1608Metric,139.625,-113.2625,0.0,top
R9,42,R_0603_1608Metric,159.775,-109.4625,0.0,top
R10,780,R_0603_1608Metric,165.675,-112.5,90.0,top
R11,42,R_0603_1608Metric,172.0,-125.5,-90.0,top
R12,42,R_0603_1608Metric,175.0,-104.0,90.0,top
